,Date_Time,Date,Year,Month,Week_Num,Day,Hour_Beginning,Day_of_Week,Temperature,Precipitation,Weather,Weather_Description
0,2018-01-01 00:00:00,2018-01-01,2018,1,1,1,0,Monday,46.56,0.0,Clouds,overcast clouds
1,2018-01-01 01:00:00,2018-01-01,2018,1,1,1,1,Monday,46.4,0.0,Clouds,overcast clouds
2,2018-01-01 02:00:00,2018-01-01,2018,1,1,1,2,Monday,45.07,0.0,Clouds,overcast clouds
3,2018-01-01 03:00:00,2018-01-01,2018,1,1,1,3,Monday,43.9,0.0,Clouds,overcast clouds
4,2018-01-01 04:00:00,2018-01-01,2018,1,1,1,4,Monday,41.4,0.0,Clouds,broken clouds
5,2018-01-01 05:00:00,2018-01-01,2018,1,1,1,5,Monday,40.39,0.0,Clouds,broken clouds
6,2018-01-01 06:00:00,2018-01-01,2018,1,1,1,6,Monday,39.24,0.0,Clouds,broken clouds
7,2018-01-01 07:00:00,2018-01-01,2018,1,1,1,7,Monday,38.62,0.0,Clouds,overcast clouds
8,2018-01-01 08:00:00,2018-01-01,2018,1,1,1,8,Monday,37.49,0.0,Clouds,overcast clouds
9,2018-01-01 09:00:00,2018-01-01,2018,1,1,1,9,Monday,37.26,0.0,Clouds,overcast clouds
10,2018-01-01 10:00:00,2018-01-01,2018,1,1,1,10,Monday,35.92,0.0,Clouds,overcast clouds
11,2018-01-01 11:00:00,2018-01-01,2018,1,1,1,11,Monday,35.17,0.0,Clouds,scattered clouds
12,2018-01-01 12:00:00,2018-01-01,2018,1,1,1,12,Monday,33.62,0.0,Clouds,scattered clouds
13,2018-01-01 13:00:00,2018-01-01,2018,1,1,1,13,Monday,31.98,0.0,Clouds,overcast clouds
14,2018-01-01 14:00:00,2018-01-01,2018,1,1,1,14,Monday,30.47,0.0,Clouds,overcast clouds
15,2018-01-01 15:00:00,2018-01-01,2018,1,1,1,15,Monday,31.8,0.0,Clear,sky is clear
16,2018-01-01 16:00:00,2018-01-01,2018,1,1,1,16,Monday,32.02,0.0,Clear,sky is clear
17,2018-01-01 17:00:00,2018-01-01,2018,1,1,1,17,Monday,33.82,0.0,Clear,sky is clear
18,2018-01-01 18:00:00,2018-01-01,2018,1,1,1,18,Monday,34.25,0.0,Clear,sky is clear
19,2018-01-01 19:00:00,2018-01-01,2018,1,1,1,19,Monday,35.89,0.0,Clear,sky is clear
20,2018-01-01 20:00:00,2018-01-01,2018,1,1,1,20,Monday,36.91,0.0,Clear,sky is clear
21,2018-01-01 21:00:00,2018-01-01,2018,1,1,1,21,Monday,39.2,0.0,Clear,sky is clear
22,2018-01-01 22:00:00,2018-01-01,2018,1,1,1,22,Monday,39.16,0.0,Clear,sky is clear
23,2018-01-01 23:00:00,2018-01-01,2018,1,1,1,23,Monday,37.62,0.0,Clear,sky is clear
24,2018-01-02 00:00:00,2018-01-02,2018,1,1,2,0,Tuesday,36.81,0.0,Clear,sky is clear
25,2018-01-02 01:00:00,2018-01-02,2018,1,1,2,1,Tuesday,35.53,0.0,Clear,sky is clear
26,2018-01-02 02:00:00,2018-01-02,2018,1,1,2,2,Tuesday,34.02,0.0,Clear,sky is clear
27,2018-01-02 03:00:00,2018-01-02,2018,1,1,2,3,Tuesday,33.67,0.0,Clear,sky is clear
28,2018-01-02 04:00:00,2018-01-02,2018,1,1,2,4,Tuesday,32.81,0.0,Clouds,few clouds
29,2018-01-02 05:00:00,2018-01-02,2018,1,1,2,5,Tuesday,31.87,0.0,Clouds,scattered clouds
30,2018-01-02 06:00:00,2018-01-02,2018,1,1,2,6,Tuesday,31.46,0.0,Clouds,broken clouds
31,2018-01-02 07:00:00,2018-01-02,2018,1,1,2,7,Tuesday,30.87,0.0,Clouds,broken clouds
32,2018-01-02 08:00:00,2018-01-02,2018,1,1,2,8,Tuesday,30.2,0.0,Clouds,overcast clouds
33,2018-01-02 09:00:00,2018-01-02,2018,1,1,2,9,Tuesday,30.16,0.0,Clouds,overcast clouds
34,2018-01-02 10:00:00,2018-01-02,2018,1,1,2,10,Tuesday,30.15,0.0,Clouds,overcast clouds
35,2018-01-02 11:00:00,2018-01-02,2018,1,1,2,11,Tuesday,30.09,0.0,Clouds,overcast clouds
36,2018-01-02 12:00:00,2018-01-02,2018,1,1,2,12,Tuesday,29.95,0.0,Snow,light snow
37,2018-01-02 13:00:00,2018-01-02,2018,1,1,2,13,Tuesday,29.57,0.0,Snow,light snow
38,2018-01-02 14:00:00,2018-01-02,2018,1,1,2,14,Tuesday,29.57,0.0,Snow,light snow
39,2018-01-02 15:00:00,2018-01-02,2018,1,1,2,15,Tuesday,29.34,0.0,Snow,light snow
40,2018-01-02 16:00:00,2018-01-02,2018,1,1,2,16,Tuesday,30.16,0.0,Clouds,overcast clouds
41,2018-01-02 17:00:00,2018-01-02,2018,1,1,2,17,Tuesday,30.79,0.0,Clouds,overcast clouds
42,2018-01-02 18:00:00,2018-01-02,2018,1,1,2,18,Tuesday,30.94,0.0,Clouds,overcast clouds
43,2018-01-02 19:00:00,2018-01-02,2018,1,1,2,19,Tuesday,32.04,0.0,Clouds,overcast clouds
44,2018-01-02 20:00:00,2018-01-02,2018,1,1,2,20,Tuesday,32.45,0.0,Clouds,overcast clouds
45,2018-01-02 21:00:00,2018-01-02,2018,1,1,2,21,Tuesday,33.04,0.0,Clouds,overcast clouds
46,2018-01-02 22:00:00,2018-01-02,2018,1,1,2,22,Tuesday,33.13,0.0,Clouds,overcast clouds
47,2018-01-02 23:00:00,2018-01-02,2018,1,1,2,23,Tuesday,33.22,0.0,Clouds,overcast clouds
48,2018-01-03 00:00:00,2018-01-03,2018,1,1,3,0,Wednesday,33.89,0.0,Clouds,overcast clouds
49,2018-01-03 01:00:00,2018-01-03,2018,1,1,3,1,Wednesday,33.85,0.0,Clouds,overcast clouds
50,2018-01-03 02:00:00,2018-01-03,2018,1,1,3,2,Wednesday,33.8,0.0,Clouds,overcast clouds
51,2018-01-03 03:00:00,2018-01-03,2018,1,1,3,3,Wednesday,32.97,0.0,Clouds,overcast clouds
52,2018-01-03 04:00:00,2018-01-03,2018,1,1,3,4,Wednesday,31.91,0.0,Snow,light snow
53,2018-01-03 05:00:00,2018-01-03,2018,1,1,3,5,Wednesday,30.58,0.0,Clouds,overcast clouds
54,2018-01-03 06:00:00,2018-01-03,2018,1,1,3,6,Wednesday,29.5,0.0,Clouds,overcast clouds
55,2018-01-03 07:00:00,2018-01-03,2018,1,1,3,7,Wednesday,28.85,0.0,Clouds,scattered clouds
56,2018-01-03 08:00:00,2018-01-03,2018,1,1,3,8,Wednesday,28.4,0.0,Clear,sky is clear
57,2018-01-03 09:00:00,2018-01-03,2018,1,1,3,9,Wednesday,28.33,0.0,Clear,sky is clear
58,2018-01-03 10:00:00,2018-01-03,2018,1,1,3,10,Wednesday,26.91,0.0,Clear,sky is clear
59,2018-01-03 11:00:00,2018-01-03,2018,1,1,3,11,Wednesday,26.56,0.0,Clear,sky is clear
60,2018-01-03 12:00:00,2018-01-03,2018,1,1,3,12,Wednesday,25.65,0.0,Clear,sky is clear
61,2018-01-03 13:00:00,2018-01-03,2018,1,1,3,13,Wednesday,25.5,0.0,Clear,sky is clear
62,2018-01-03 14:00:00,2018-01-03,2018,1,1,3,14,Wednesday,25.83,0.0,Clear,sky is clear
63,2018-01-03 15:00:00,2018-01-03,2018,1,1,3,15,Wednesday,28.22,0.0,Clear,sky is clear
64,2018-01-03 16:00:00,2018-01-03,2018,1,1,3,16,Wednesday,30.67,0.0,Clear,sky is clear
65,2018-01-03 17:00:00,2018-01-03,2018,1,1,3,17,Wednesday,34.9,0.0,Clear,sky is clear
66,2018-01-03 18:00:00,2018-01-03,2018,1,1,3,18,Wednesday,37.06,0.0,Clear,sky is clear
67,2018-01-03 19:00:00,2018-01-03,2018,1,1,3,19,Wednesday,39.13,0.0,Clear,sky is clear
68,2018-01-03 20:00:00,2018-01-03,2018,1,1,3,20,Wednesday,42.71,0.0,Clear,sky is clear
69,2018-01-03 21:00:00,2018-01-03,2018,1,1,3,21,Wednesday,45.27,0.0,Clear,sky is clear
70,2018-01-03 22:00:00,2018-01-03,2018,1,1,3,22,Wednesday,45.55,0.0,Clear,sky is clear
71,2018-01-03 23:00:00,2018-01-03,2018,1,1,3,23,Wednesday,45.12,0.0,Clear,sky is clear
72,2018-01-04 00:00:00,2018-01-04,2018,1,1,4,0,Thursday,43.02,0.0,Clear,sky is clear
73,2018-01-04 01:00:00,2018-01-04,2018,1,1,4,1,Thursday,38.93,0.0,Clear,sky is clear
74,2018-01-04 02:00:00,2018-01-04,2018,1,1,4,2,Thursday,37.81,0.0,Clear,sky is clear
75,2018-01-04 03:00:00,2018-01-04,2018,1,1,4,3,Thursday,36.9,0.0,Clear,sky is clear
76,2018-01-04 04:00:00,2018-01-04,2018,1,1,4,4,Thursday,36.03,0.0,Clear,sky is clear
77,2018-01-04 05:00:00,2018-01-04,2018,1,1,4,5,Thursday,34.5,0.0,Clear,sky is clear
78,2018-01-04 06:00:00,2018-01-04,2018,1,1,4,6,Thursday,33.82,0.0,Clear,sky is clear
79,2018-01-04 07:00:00,2018-01-04,2018,1,1,4,7,Thursday,33.01,0.0,Clear,sky is clear
80,2018-01-04 08:00:00,2018-01-04,2018,1,1,4,8,Thursday,32.61,0.0,Clear,sky is clear
81,2018-01-04 09:00:00,2018-01-04,2018,1,1,4,9,Thursday,27.73,0.0,Clear,sky is clear
82,2018-01-04 10:00:00,2018-01-04,2018,1,1,4,10,Thursday,31.59,0.0,Clear,sky is clear
83,2018-01-04 11:00:00,2018-01-04,2018,1,1,4,11,Thursday,31.89,0.0,Clear,sky is clear
84,2018-01-04 12:00:00,2018-01-04,2018,1,1,4,12,Thursday,31.71,0.0,Clear,sky is clear
85,2018-01-04 13:00:00,2018-01-04,2018,1,1,4,13,Thursday,32.47,0.0,Clear,sky is clear
86,2018-01-04 14:00:00,2018-01-04,2018,1,1,4,14,Thursday,33.8,0.0,Clear,sky is clear
87,2018-01-04 15:00:00,2018-01-04,2018,1,1,4,15,Thursday,39.02,0.0,Clear,sky is clear
88,2018-01-04 16:00:00,2018-01-04,2018,1,1,4,16,Thursday,42.01,0.0,Clear,sky is clear
89,2018-01-04 17:00:00,2018-01-04,2018,1,1,4,17,Thursday,45.99,0.0,Clear,sky is clear
90,2018-01-04 18:00:00,2018-01-04,2018,1,1,4,18,Thursday,47.43,0.0,Clear,sky is clear
91,2018-01-04 19:00:00,2018-01-04,2018,1,1,4,19,Thursday,52.23,0.0,Clear,sky is clear
92,2018-01-04 20:00:00,2018-01-04,2018,1,1,4,20,Thursday,53.78,0.0,Clear,sky is clear
93,2018-01-04 21:00:00,2018-01-04,2018,1,1,4,21,Thursday,53.47,0.0,Clouds,broken clouds
94,2018-01-04 22:00:00,2018-01-04,2018,1,1,4,22,Thursday,52.93,0.0,Clear,sky is clear
95,2018-01-04 23:00:00,2018-01-04,2018,1,1,4,23,Thursday,51.53,0.0,Clear,sky is clear
96,2018-01-05 00:00:00,2018-01-05,2018,1,1,5,0,Friday,47.43,0.0,Clear,sky is clear
97,2018-01-05 01:00:00,2018-01-05,2018,1,1,5,1,Friday,45.82,0.0,Clear,sky is clear
98,2018-01-05 02:00:00,2018-01-05,2018,1,1,5,2,Friday,44.13,0.0,Clear,sky is clear
99,2018-01-05 03:00:00,2018-01-05,2018,1,1,5,3,Friday,44.78,0.0,Clear,sky is clear
100,2018-01-05 04:00:00,2018-01-05,2018,1,1,5,4,Friday,44.42,0.0,Clear,sky is clear
101,2018-01-05 05:00:00,2018-01-05,2018,1,1,5,5,Friday,44.11,0.0,Clear,sky is clear
102,2018-01-05 06:00:00,2018-01-05,2018,1,1,5,6,Friday,43.45,0.0,Clear,sky is clear
103,2018-01-05 07:00:00,2018-01-05,2018,1,1,5,7,Friday,43.9,0.0,Clear,sky is clear
104,2018-01-05 08:00:00,2018-01-05,2018,1,1,5,8,Friday,43.61,0.0,Clear,sky is clear
105,2018-01-05 09:00:00,2018-01-05,2018,1,1,5,9,Friday,43.39,0.0,Clear,sky is clear
106,2018-01-05 10:00:00,2018-01-05,2018,1,1,5,10,Friday,42.8,0.0,Clear,sky is clear
107,2018-01-05 11:00:00,2018-01-05,2018,1,1,5,11,Friday,42.93,0.0,Clear,sky is clear
108,2018-01-05 12:00:00,2018-01-05,2018,1,1,5,12,Friday,43.03,0.0,Clear,sky is clear
109,2018-01-05 13:00:00,2018-01-05,2018,1,1,5,13,Friday,42.87,0.0,Clouds,few clouds
110,2018-01-05 14:00:00,2018-01-05,2018,1,1,5,14,Friday,43.3,0.0,Clouds,overcast clouds
111,2018-01-05 15:00:00,2018-01-05,2018,1,1,5,15,Friday,46.36,0.0,Clouds,few clouds
112,2018-01-05 16:00:00,2018-01-05,2018,1,1,5,16,Friday,48.79,0.0,Clouds,scattered clouds
113,2018-01-05 17:00:00,2018-01-05,2018,1,1,5,17,Friday,50.34,0.0,Clouds,broken clouds
114,2018-01-05 18:00:00,2018-01-05,2018,1,1,5,18,Friday,52.77,0.0,Clouds,scattered clouds
115,2018-01-05 19:00:00,2018-01-05,2018,1,1,5,19,Friday,53.83,0.0,Clouds,scattered clouds
116,2018-01-05 20:00:00,2018-01-05,2018,1,1,5,20,Friday,55.27,0.0,Clouds,scattered clouds
117,2018-01-05 21:00:00,2018-01-05,2018,1,1,5,21,Friday,55.15,0.0,Clouds,few clouds
118,2018-01-05 22:00:00,2018-01-05,2018,1,1,5,22,Friday,54.9,0.0,Clouds,scattered clouds
119,2018-01-05 23:00:00,2018-01-05,2018,1,1,5,23,Friday,53.31,0.0,Clear,sky is clear
120,2018-01-06 00:00:00,2018-01-06,2018,1,1,6,0,Saturday,49.33,0.0,Clear,sky is clear
121,2018-01-06 01:00:00,2018-01-06,2018,1,1,6,1,Saturday,46.72,0.0,Clear,sky is clear
122,2018-01-06 02:00:00,2018-01-06,2018,1,1,6,2,Saturday,45.52,0.0,Clear,sky is clear
123,2018-01-06 03:00:00,2018-01-06,2018,1,1,6,3,Saturday,44.71,0.0,Clear,sky is clear
124,2018-01-06 04:00:00,2018-01-06,2018,1,1,6,4,Saturday,43.92,0.0,Clear,sky is clear
125,2018-01-06 05:00:00,2018-01-06,2018,1,1,6,5,Saturday,43.02,0.0,Clear,sky is clear
126,2018-01-06 06:00:00,2018-01-06,2018,1,1,6,6,Saturday,42.51,0.0,Clear,sky is clear
127,2018-01-06 07:00:00,2018-01-06,2018,1,1,6,7,Saturday,41.85,0.0,Clear,sky is clear
128,2018-01-06 08:00:00,2018-01-06,2018,1,1,6,8,Saturday,40.57,0.0,Clear,sky is clear
129,2018-01-06 09:00:00,2018-01-06,2018,1,1,6,9,Saturday,41.38,0.0,Clear,sky is clear
130,2018-01-06 10:00:00,2018-01-06,2018,1,1,6,10,Saturday,40.08,0.0,Clear,sky is clear
131,2018-01-06 11:00:00,2018-01-06,2018,1,1,6,11,Saturday,39.52,0.0,Clear,sky is clear
132,2018-01-06 12:00:00,2018-01-06,2018,1,1,6,12,Saturday,39.51,0.0,Clear,sky is clear
133,2018-01-06 13:00:00,2018-01-06,2018,1,1,6,13,Saturday,39.6,0.0,Clear,sky is clear
134,2018-01-06 14:00:00,2018-01-06,2018,1,1,6,14,Saturday,41.07,0.0,Clear,sky is clear
135,2018-01-06 15:00:00,2018-01-06,2018,1,1,6,15,Saturday,45.14,0.0,Clear,sky is clear
136,2018-01-06 16:00:00,2018-01-06,2018,1,1,6,16,Saturday,52.18,0.0,Clear,sky is clear
137,2018-01-06 17:00:00,2018-01-06,2018,1,1,6,17,Saturday,56.75,0.0,Clear,sky is clear
138,2018-01-06 18:00:00,2018-01-06,2018,1,1,6,18,Saturday,60.58,0.0,Clear,sky is clear
139,2018-01-06 19:00:00,2018-01-06,2018,1,1,6,19,Saturday,62.4,0.0,Clear,sky is clear
140,2018-01-06 20:00:00,2018-01-06,2018,1,1,6,20,Saturday,62.91,0.0,Clear,sky is clear
141,2018-01-06 21:00:00,2018-01-06,2018,1,1,6,21,Saturday,62.56,0.0,Clear,sky is clear
142,2018-01-06 22:00:00,2018-01-06,2018,1,1,6,22,Saturday,59.76,0.0,Clouds,few clouds
143,2018-01-06 23:00:00,2018-01-06,2018,1,1,6,23,Saturday,58.12,0.0,Clouds,broken clouds
144,2018-01-07 00:00:00,2018-01-07,2018,1,1,7,0,Sunday,55.44,0.0,Clouds,broken clouds
145,2018-01-07 01:00:00,2018-01-07,2018,1,1,7,1,Sunday,52.95,0.0,Clouds,broken clouds
146,2018-01-07 02:00:00,2018-01-07,2018,1,1,7,2,Sunday,52.61,0.0,Clouds,broken clouds
147,2018-01-07 03:00:00,2018-01-07,2018,1,1,7,3,Sunday,50.77,0.0,Clouds,few clouds
148,2018-01-07 04:00:00,2018-01-07,2018,1,1,7,4,Sunday,50.27,0.0,Clouds,scattered clouds
149,2018-01-07 05:00:00,2018-01-07,2018,1,1,7,5,Sunday,50.2,0.0,Clouds,few clouds
150,2018-01-07 06:00:00,2018-01-07,2018,1,1,7,6,Sunday,49.84,0.0,Clear,sky is clear
151,2018-01-07 07:00:00,2018-01-07,2018,1,1,7,7,Sunday,49.68,0.0,Clear,sky is clear
152,2018-01-07 08:00:00,2018-01-07,2018,1,1,7,8,Sunday,49.39,0.0,Clear,sky is clear
153,2018-01-07 09:00:00,2018-01-07,2018,1,1,7,9,Sunday,50.43,0.0,Clear,sky is clear
154,2018-01-07 10:00:00,2018-01-07,2018,1,1,7,10,Sunday,51.82,0.0,Clear,sky is clear
155,2018-01-07 11:00:00,2018-01-07,2018,1,1,7,11,Sunday,51.76,0.0,Clear,sky is clear
156,2018-01-07 12:00:00,2018-01-07,2018,1,1,7,12,Sunday,52.07,0.0,Clouds,overcast clouds
157,2018-01-07 13:00:00,2018-01-07,2018,1,1,7,13,Sunday,52.74,0.0,Clear,sky is clear
158,2018-01-07 14:00:00,2018-01-07,2018,1,1,7,14,Sunday,53.28,0.0,Clouds,overcast clouds
159,2018-01-07 15:00:00,2018-01-07,2018,1,1,7,15,Sunday,55.67,0.0,Clouds,overcast clouds
160,2018-01-07 16:00:00,2018-01-07,2018,1,1,7,16,Sunday,58.19,0.0,Clouds,overcast clouds
161,2018-01-07 17:00:00,2018-01-07,2018,1,1,7,17,Sunday,62.13,0.0,Clouds,overcast clouds
162,2018-01-07 18:00:00,2018-01-07,2018,1,1,7,18,Sunday,64.54,0.0,Clouds,scattered clouds
163,2018-01-07 19:00:00,2018-01-07,2018,1,1,7,19,Sunday,67.37,0.37,Rain,light rain
164,2018-01-07 20:00:00,2018-01-07,2018,1,1,7,20,Sunday,68.23,0.0,Clouds,overcast clouds
165,2018-01-07 21:00:00,2018-01-07,2018,1,1,7,21,Sunday,68.4,0.0,Clear,sky is clear
166,2018-01-07 22:00:00,2018-01-07,2018,1,1,7,22,Sunday,66.96,0.0,Clear,sky is clear
167,2018-01-07 23:00:00,2018-01-07,2018,1,1,7,23,Sunday,65.71,0.0,Clear,sky is clear
168,2018-01-08 00:00:00,2018-01-08,2018,1,2,8,0,Monday,64.31,0.0,Clouds,overcast clouds
169,2018-01-08 01:00:00,2018-01-08,2018,1,2,8,1,Monday,63.52,0.0,Clouds,overcast clouds
170,2018-01-08 02:00:00,2018-01-08,2018,1,2,8,2,Monday,62.42,0.7,Rain,light rain
171,2018-01-08 03:00:00,2018-01-08,2018,1,2,8,3,Monday,62.01,0.5,Rain,light rain
172,2018-01-08 04:00:00,2018-01-08,2018,1,2,8,4,Monday,63.19,4.47,Rain,heavy intensity rain
173,2018-01-08 05:00:00,2018-01-08,2018,1,2,8,5,Monday,63.12,8.1,Rain,heavy intensity rain
174,2018-01-08 06:00:00,2018-01-08,2018,1,2,8,6,Monday,63.34,6.4,Rain,heavy intensity rain
175,2018-01-08 07:00:00,2018-01-08,2018,1,2,8,7,Monday,63.93,4.7,Rain,heavy intensity rain
176,2018-01-08 08:00:00,2018-01-08,2018,1,2,8,8,Monday,62.64,2.31,Rain,moderate rain
177,2018-01-08 09:00:00,2018-01-08,2018,1,2,8,9,Monday,61.7,0.0,Rain,heavy intensity rain
178,2018-01-08 10:00:00,2018-01-08,2018,1,2,8,10,Monday,60.39,0.0,Clouds,few clouds
179,2018-01-08 11:00:00,2018-01-08,2018,1,2,8,11,Monday,58.87,0.0,Clouds,few clouds
180,2018-01-08 12:00:00,2018-01-08,2018,1,2,8,12,Monday,57.49,0.0,Clouds,scattered clouds
181,2018-01-08 13:00:00,2018-01-08,2018,1,2,8,13,Monday,57.0,0.0,Clouds,scattered clouds
182,2018-01-08 14:00:00,2018-01-08,2018,1,2,8,14,Monday,57.18,0.0,Clouds,overcast clouds
183,2018-01-08 15:00:00,2018-01-08,2018,1,2,8,15,Monday,57.18,0.0,Clouds,overcast clouds
184,2018-01-08 16:00:00,2018-01-08,2018,1,2,8,16,Monday,58.01,0.0,Clouds,scattered clouds
185,2018-01-08 17:00:00,2018-01-08,2018,1,2,8,17,Monday,59.99,0.0,Clouds,few clouds
186,2018-01-08 18:00:00,2018-01-08,2018,1,2,8,18,Monday,62.4,0.0,Clear,sky is clear
187,2018-01-08 19:00:00,2018-01-08,2018,1,2,8,19,Monday,64.13,0.0,Clear,sky is clear
188,2018-01-08 20:00:00,2018-01-08,2018,1,2,8,20,Monday,64.45,0.0,Clear,sky is clear
189,2018-01-08 21:00:00,2018-01-08,2018,1,2,8,21,Monday,65.48,0.0,Clear,sky is clear
190,2018-01-08 22:00:00,2018-01-08,2018,1,2,8,22,Monday,65.43,0.0,Clear,sky is clear
191,2018-01-08 23:00:00,2018-01-08,2018,1,2,8,23,Monday,63.99,0.0,Clear,sky is clear
192,2018-01-09 00:00:00,2018-01-09,2018,1,2,9,0,Tuesday,60.85,0.0,Clear,sky is clear
193,2018-01-09 01:00:00,2018-01-09,2018,1,2,9,1,Tuesday,58.89,0.0,Clear,sky is clear
194,2018-01-09 02:00:00,2018-01-09,2018,1,2,9,2,Tuesday,57.29,0.0,Clear,sky is clear
195,2018-01-09 03:00:00,2018-01-09,2018,1,2,9,3,Tuesday,55.26,0.0,Clear,sky is clear
196,2018-01-09 04:00:00,2018-01-09,2018,1,2,9,4,Tuesday,53.35,0.0,Clear,sky is clear
197,2018-01-09 05:00:00,2018-01-09,2018,1,2,9,5,Tuesday,50.52,0.0,Clear,sky is clear
198,2018-01-09 06:00:00,2018-01-09,2018,1,2,9,6,Tuesday,49.1,0.0,Clear,sky is clear
199,2018-01-09 07:00:00,2018-01-09,2018,1,2,9,7,Tuesday,48.42,0.0,Clear,sky is clear
200,2018-01-09 08:00:00,2018-01-09,2018,1,2,9,8,Tuesday,48.36,0.0,Clear,sky is clear
201,2018-01-09 09:00:00,2018-01-09,2018,1,2,9,9,Tuesday,47.89,0.0,Clear,sky is clear
202,2018-01-09 10:00:00,2018-01-09,2018,1,2,9,10,Tuesday,46.53,0.0,Clear,sky is clear
203,2018-01-09 11:00:00,2018-01-09,2018,1,2,9,11,Tuesday,45.84,0.0,Clear,sky is clear
204,2018-01-09 12:00:00,2018-01-09,2018,1,2,9,12,Tuesday,45.66,0.0,Clear,sky is clear
205,2018-01-09 13:00:00,2018-01-09,2018,1,2,9,13,Tuesday,46.31,0.0,Clouds,scattered clouds
206,2018-01-09 14:00:00,2018-01-09,2018,1,2,9,14,Tuesday,47.89,0.0,Clouds,scattered clouds
207,2018-01-09 15:00:00,2018-01-09,2018,1,2,9,15,Tuesday,48.51,0.0,Clouds,scattered clouds
208,2018-01-09 16:00:00,2018-01-09,2018,1,2,9,16,Tuesday,48.94,0.0,Clouds,scattered clouds
209,2018-01-09 17:00:00,2018-01-09,2018,1,2,9,17,Tuesday,50.07,0.0,Clouds,overcast clouds
210,2018-01-09 18:00:00,2018-01-09,2018,1,2,9,18,Tuesday,51.21,0.0,Clouds,overcast clouds
211,2018-01-09 19:00:00,2018-01-09,2018,1,2,9,19,Tuesday,52.57,0.0,Clouds,overcast clouds
212,2018-01-09 20:00:00,2018-01-09,2018,1,2,9,20,Tuesday,53.6,0.0,Clouds,overcast clouds
213,2018-01-09 21:00:00,2018-01-09,2018,1,2,9,21,Tuesday,54.36,0.0,Clouds,overcast clouds
214,2018-01-09 22:00:00,2018-01-09,2018,1,2,9,22,Tuesday,54.39,0.0,Clouds,overcast clouds
215,2018-01-09 23:00:00,2018-01-09,2018,1,2,9,23,Tuesday,54.43,0.0,Clouds,overcast clouds
216,2018-01-10 00:00:00,2018-01-10,2018,1,2,10,0,Wednesday,54.1,0.0,Clouds,overcast clouds
217,2018-01-10 01:00:00,2018-01-10,2018,1,2,10,1,Wednesday,54.45,0.0,Clouds,overcast clouds
218,2018-01-10 02:00:00,2018-01-10,2018,1,2,10,2,Wednesday,53.6,0.0,Clouds,overcast clouds
219,2018-01-10 03:00:00,2018-01-10,2018,1,2,10,3,Wednesday,53.46,0.0,Clouds,overcast clouds
220,2018-01-10 04:00:00,2018-01-10,2018,1,2,10,4,Wednesday,52.52,0.0,Clouds,overcast clouds
221,2018-01-10 05:00:00,2018-01-10,2018,1,2,10,5,Wednesday,52.52,0.0,Clouds,overcast clouds
222,2018-01-10 06:00:00,2018-01-10,2018,1,2,10,6,Wednesday,52.25,0.0,Clouds,overcast clouds
223,2018-01-10 07:00:00,2018-01-10,2018,1,2,10,7,Wednesday,52.2,0.0,Clouds,overcast clouds
224,2018-01-10 08:00:00,2018-01-10,2018,1,2,10,8,Wednesday,51.94,0.0,Clouds,overcast clouds
225,2018-01-10 09:00:00,2018-01-10,2018,1,2,10,9,Wednesday,51.96,0.0,Clouds,overcast clouds
226,2018-01-10 10:00:00,2018-01-10,2018,1,2,10,10,Wednesday,51.89,0.0,Clouds,overcast clouds
227,2018-01-10 11:00:00,2018-01-10,2018,1,2,10,11,Wednesday,51.87,0.0,Clouds,overcast clouds
228,2018-01-10 12:00:00,2018-01-10,2018,1,2,10,12,Wednesday,51.89,0.0,Clouds,overcast clouds
229,2018-01-10 13:00:00,2018-01-10,2018,1,2,10,13,Wednesday,53.58,0.0,Clouds,overcast clouds
230,2018-01-10 14:00:00,2018-01-10,2018,1,2,10,14,Wednesday,53.51,0.0,Clouds,overcast clouds
231,2018-01-10 15:00:00,2018-01-10,2018,1,2,10,15,Wednesday,54.61,0.0,Clouds,overcast clouds
232,2018-01-10 16:00:00,2018-01-10,2018,1,2,10,16,Wednesday,55.76,0.0,Clouds,overcast clouds
233,2018-01-10 17:00:00,2018-01-10,2018,1,2,10,17,Wednesday,58.05,0.0,Clouds,overcast clouds
234,2018-01-10 18:00:00,2018-01-10,2018,1,2,10,18,Wednesday,59.56,0.0,Clouds,overcast clouds
235,2018-01-10 19:00:00,2018-01-10,2018,1,2,10,19,Wednesday,61.03,0.0,Clouds,overcast clouds
236,2018-01-10 20:00:00,2018-01-10,2018,1,2,10,20,Wednesday,61.56,0.0,Clouds,overcast clouds
237,2018-01-10 21:00:00,2018-01-10,2018,1,2,10,21,Wednesday,61.9,0.0,Clouds,overcast clouds
238,2018-01-10 22:00:00,2018-01-10,2018,1,2,10,22,Wednesday,59.99,0.0,Clouds,overcast clouds
239,2018-01-10 23:00:00,2018-01-10,2018,1,2,10,23,Wednesday,62.38,0.0,Clouds,overcast clouds
240,2018-01-11 00:00:00,2018-01-11,2018,1,2,11,0,Thursday,62.89,0.0,Clouds,overcast clouds
241,2018-01-11 01:00:00,2018-01-11,2018,1,2,11,1,Thursday,63.73,0.0,Clouds,overcast clouds
242,2018-01-11 02:00:00,2018-01-11,2018,1,2,11,2,Thursday,64.33,0.0,Clouds,overcast clouds
243,2018-01-11 03:00:00,2018-01-11,2018,1,2,11,3,Thursday,63.86,0.0,Clouds,overcast clouds
